SMILES	pIC50 (SARS-CoV-2 Mpro)	pIC50 (MERS-CoV Mpro)
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN(CC2=CC=CC=C2)CC1	nan	4.26
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC(F)=C1 |&1:15,&2:18|	5.58	4.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C(=O)N2CCCCCC2)C1 |&1:16|	nan	9.0
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C[C@H]2CCOC2)C1 |&1:17,&2:19|	4.33	4.33
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC=N2)C1 |&1:16|	4.15	4.26
O=C([C@H]1CC2=CC=CC=C2CN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1 |&1:2|	4.61	4.21
C[C@H]1C[C@H](C2=CSC=C2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|	5.05	4.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1CCCC1 |&1:16|	4.92	4.62
C[C@H](C1=CC=CC=C1)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:8|	4.77	3.69
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CSC=C2)C1	4.65	4.29
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=NC=C1 |&1:17|	nan	3.95
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=CC=N2)CC1	nan	4.22
CN1C[C@H](CC2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)CC1=O |&1:3|	4.49	4.0
CN(C1=CC=CC=C1)[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:8|	4.51	4.25
CC1=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=CS1 |&1:4|	5.09	3.11
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CS2)CC1	4.44	4.23
CC1=NC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=CS1 |&1:4|	4.67	4.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(C2=CC=CN=C2)CC1	4.04	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C2CC1	5.01	4.04
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CC=CC=N2)C1	nan	4.24
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CO2)CC1	4.11	4.3
C[C@H]1CC[C@H](C2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:4|	5.02	4.82
CC1=CC(C)=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:7|	nan	9.0
CCN1CCC[C@H]1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6,&2:7|	nan	4.28
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2CCCCC2)C1 |&1:16|	4.08	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C(=O)N2CCCC2)CC1	nan	6.83
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC=C2)C1 |&1:16|	4.73	4.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1=CC=CC=C1 |&1:25|	5.15	4.18
C[C@]1(C2=CC=C(F)C=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|	4.84	4.6
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CN=C2)C1 |&1:17|	4.21	9.0
CC1=CC=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8|	4.43	4.09
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CSC=N2)CC1	4.1	nan
C=CC(=O)NC1=CC=C(Cl)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1	5.3	5.03
CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C1=CC=CS1 |&1:18|	4.86	4.6
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl	7.48	nan
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(Br)C=C1C	6.84	nan
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(CC1=CC=CC=C1)[C@H]1CCS(=O)(=O)C1	nan	9.0
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCC(C)(C(=O)NC)CC1	nan	6.59
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CC[C@@H](C2=CC=C(F)C=C2)[C@H](COC2=CC=C3OCOC3=C2)C1	nan	6.41
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=NC=C(C(F)(F)F)C=C1	6.53	nan
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C2OCCOC2=C1	nan	6.6
C=C(CNC1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1	4.99	4.79
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](CC2CCCCC2)C1 |&1:21|	4.77	5.53
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CC=C2)C1 |&1:21|	4.55	4.99
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2CCCC2)C1 |&1:17|	nan	9.0
CC1=CC=C(CN2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1	nan	4.32
CC1=CC(NC(=O)NC2=CN(CC(C)C)C(=O)C3=CC=CC=C23)=NO1	5.2	5.03
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C(=N)N)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1	5.18	4.27
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC)C2=CC(Cl)=CC=C2C1=O	7.54	5.89
COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C)C(=O)C1=CC=C(Cl)C=C12	5.48	3.8
O=C(CCl)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|	7.26	4.54
C#CC1=CC=C(NC(=O)C=C)C=C1N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	nan	4.46
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|	5.46	4.19
CN1CCN(CC2=CC=CC=C2B2OC(C)(C)C(C)(C)O2)CC1	nan	3.61
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|	4.02	4.31
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|	4.39	3.84
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(F)=CC=C2C1=O	6.83	4.07
CC1=CC=CC=C1NC(=O)C[C@H]1SC(=O)N(C2=CC=CC=C2)C1=O |&1:11|	6.23	4.83
CN1N=C(C2=CC=C(C(F)(F)F)C=C2)N=C2C1=NC(=O)N(C)C2=O	nan	6.9
COC1=CC=C(C(=O)NC2=CC=CC(/C=C3/C(=O)NC(=O)C4=CC=CC=C34)=C2)C=C1	5.04	nan
C=C(CN(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1	4.46	4.84
CCC(=O)NC1=CC=CC(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1	4.55	5.77
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=CN1C)C(=O)C1=CC=C(F)C=C12 |a:1,16|	6.37	5.47
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|	7.91	4.25
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(Cl)=CC=C2C1=O |a:7,22|	6.94	5.55
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(F)=CC=C2C1=O |a:7,22|	6.73	5.27
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|	5.55	4.81
CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|	7.54	5.78
CNC(=O)C1(N2C[C@@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|	4.4	9.0
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CC=N1)C(=O)C1=CC=C(F)C=C12 |a:1,16|	6.25	5.44
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=NN1)C(=O)C1=CC=C(F)C=C12 |a:1,16|	5.67	4.56
O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCNCC(F)(F)F)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,34|	6.91	5.94
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NN2)C2=CC(Cl)=CC=C2C1=O |a:7,22|	8.1	6.3
CC1=NC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=CN1 |a:7,22|	7.56	6.3
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CNN=C2)C2=CC(Cl)=CC=C2C1=O |a:7,22|	7.21	5.41
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|	7.64	4.42
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CNC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1	4.05	4.59
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|	5.93	4.41
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NC(C)=N2)C2=CC(Cl)=CC=C2C1=O |a:7,22|	7.5	6.76
COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNN=C1)C(=O)C1=CC=C(Cl)C=C12 |a:3,18|	7.26	5.99
C=C(C(=O)OC)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:6,&2:8|	6.17	4.24
O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCN1CC3(COC3)C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,35|	7.24	6.43
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN(C)C)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|	7.38	6.36
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CF)C2=CC(Cl)=CC=C2C1=O |a:7,22|	7.51	5.77
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1C[C@@H]3C[C@H]1CO3)C(=O)C1=CC=C(Cl)C=C12 |a:1,16,23,25|	8.0	6.5
O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NN=CO1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=CC=NC=N1 |a:9,32|	7.13	6.63
C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:5,&2:7|	5.53	3.56
C[C@H]1COC[C@H](C)N1CCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O |a:1,5,12,27|	8.02	6.58
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOC(F)(F)C1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|	7.89	6.4
CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)CC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|	7.7	5.64
C#CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|	5.32	4.6
C=CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|	nan	1.43
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C(=O)NC)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	4.2	4.45
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C1CNC1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|	7.27	6.16
CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|	6.89	5.63
CCC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	5.89	5.69
O=C(N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21)C12CC1C2 |&1:14,&2:20|	nan	4.25
N#CN1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:14,&2:20|	nan	8.56
C=CC(=O)N1CCCC2=C1C=CC=C2N(C(=O)CC1=CN=CC2=CC=CC=C12)C1(C2=CC=CC(Cl)=C2)COC1	4.99	5.01
C=C(C(=O)NC1=CC=CC=C1)[C@H]1C[C@]2(CN(CC(=O)NC)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:11,&2:13|	5.59	4.59
CC#CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:17,&2:23|	nan	4.18
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C2=CC=CN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	4.79	5.41
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(N2CC3(CCC3)C2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	nan	4.8
CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2CS(=O)(=O)C2)C2=CC(Cl)=CC=C2C1=O |a:6,21|	7.26	6.39
CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=NC=NC=N2)C2=CC(Cl)=CC=C2C1=O |a:6,21|	7.4	6.75
CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|	6.92	5.58
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC([C@H]2CCCN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12 |&1:21|	4.26	4.27
C[C@H](OC(C)(C)C)[C@@H](NC(=O)OCC1=CC=CC(OCCCCCCOC2=CC=CC3=C2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)=C1)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O |a:1,7,49,60,64,&1:35|	5.41	4.16
C=CC(=O)N1CCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21	5.75	6.34
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Br)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21	7.62	6.35
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=C(F)C=CC=C34)C=C21	7.41	6.14
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C4=CC=CC=C4)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21	5.88	5.03
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C(F)(F)F)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21	7.4	5.8
C=CC(=O)N1CCCC2=CC=C(N(C(=O)CC3=CN=CC4=CC=CC=C34)N(C)C3=CC=CC(Cl)=C3)C=C21	8.19	5.79
C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|	4.11	4.54
C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|	nan	4.65
C=CC[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(CN)=C1 |&1:3|	4.43	4.43
C=CC[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|	4.42	4.39
CCNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:22,28|	nan	2.74
CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:21,27|	nan	4.25
CC(C)CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:24,30|	7.26	6.0
C=CC(=O)N1C[C@H](CO)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|	nan	5.71
CC(C)NS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:23,29|	nan	4.52
O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1CNC1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CS1 |a:9,31|	7.56	6.58
C=CC(=O)N1CCCCC2=CC=C(N(CC3=CC=C(Cl)C=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21	4.56	4.55
C=CC[C@H](NC1=CC=CC(Cl)=C1)C1=CC=CC(C2=NNN=N2)=C1 |&1:3|	4.62	4.87
C=CC(=O)N1C[C@H](C(N)=O)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|	6.66	6.05
C=CC[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|	4.65	4.35
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |&1:16|	5.16	nan
C[C@H](F)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|	4.07	nan
CNS(=O)(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:5|	4.25	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1C1=NC=CC=C12 |&1:14,&2:17|	4.65	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1 |a:16|	4.46	nan
CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C(C(F)F)=N1 |&1:4|	4.31	nan
COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8,10|	5.98	6.22
CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:2|	5.07	nan
CC(C)C1=NC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=NO1 |&1:6|	4.04	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C=CC3=CC=CC=C3O2)C1 |&1:17|	4.17	nan
N#CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	5.36	4.6
O=C1C[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]2N1 |&1:3,21|	4.03	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |&1:16|	5.07	nan
C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|	4.57	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |&1:16,&2:23|	6.05	5.17
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |&1:16|	5.26	nan
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |&1:1,18|	5.13	nan
CN1N=CC=C1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|	4.26	nan
CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|	5.89	5.64
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C=CC1=CC=CS1 |&1:17|	4.88	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C1)OC[C@H]1C[C@H]12 |&1:17,&2:21,23|	4.02	nan
CO[C@H]1[C@H]2C[C@H]3CN(C(=O)CC4=CN=CC5=CC=CC=C45)[C@H]1[C@H]3C2 |&1:2,&2:3,&3:5,&4:21,&5:22|	4.23	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@H]1CCC2 |&1:14,&2:18|	5.24	4.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](S(=O)(=O)C(F)F)C1 |&1:16|	4.63	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)F |a:15,16,18|	4.96	nan
CS(=O)(=O)CC[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|	4.06	nan
CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	5.16	nan
CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:3|	5.9	4.75
CCO[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)C1 |&1:3,&2:5,&3:21|	4.57	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=NOC(C2CC2)=C1 |&1:17|	4.51	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC(F)(F)F |&1:18|	4.32	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC(F)=C2)C1 |&1:17|	5.1	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=NO2)CC1	4.87	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NOC=C2)C1 |&1:17|	4.47	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CS(=O)(=O)C[C@H]2C1 |a:15,21|	4.63	nan
CCC1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:6|	4.25	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2COC[C@@]2(C2=CC=CC=C2)C1 |&1:15,19|	5.17	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCO[C@H]2C1 |&1:16,20|	4.23	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCOCC2)C1 |&1:17|	4.34	nan
CCC1=CC=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|	4.55	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@H]2C1 |&1:15,&2:22|	5.87	4.53
CN1C[C@H]2[C@H](CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C1=O |&1:3,4|	4.05	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CCCN1C=CC=N1 |&1:17|	4.15	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C=C[C@H]1CC2 |&1:15,&2:18|	4.66	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(C=CC3=CC=CC=C3O2)CC1	5.79	4.23
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2=CC=CC=C2)[C@H]2CCC[C@H]21 |&1:15,&2:22,&3:26|	5.2	nan
COC[C@H]1CC[C@@H](C2=CC=C(F)C=C2)N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:3,6|	5.01	nan
CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)S1 |a:7,22|	7.62	7.34
CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2COC[C@H]21 |&1:18,22|	4.42	nan
CCO[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|	4.14	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NOC=N1 |&1:18|	4.37	nan
